Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,pred_home_runs,lambda_home,lambda_away,p_over_poisson,actual_total,actual_over,prob_bucket,p_over_negbin,prob_bucket_nb,lambda_home_cal,lambda_away_cal,p_over_cal
2025-08-13,MIL,PIT,17.0,12.0,5.0,7.6,2.6,7.5,2.5,6.75,3.4,2.6,7.8,3.7,6.0,4.7,5.2,5.151989983839346,5.151989983839346,3.6735640818793525,0.5223,17.0,1,"(0.5, 0.55]",0.4941,"(0.45, 0.5]",5.151989983839338,3.6735640818793467,0.494
2025-08-13,KCR,WSN,15.0,7.0,8.0,5.6,4.2,5.5,4.8,5.1,4.55,4.2,4.4,3.5,6.7,4.15,6.0,5.1115580155497105,5.1115580155497105,4.533063134497984,0.62,15.0,1,"(0.6, 0.65]",0.5808,"(0.55, 0.6]",5.1115580155497025,4.533063134497977,0.5778
2025-08-13,TOR,CHC,5.0,1.0,4.0,6.4,4.0,7.3,4.4,6.3,5.05,3.6,3.0,3.0,3.0,3.9,4.65,4.32023394860555,4.32023394860555,4.337304356398379,0.4967,5.0,0,"(0.45, 0.5]",0.4764,"(0.45, 0.5]",4.3202339486055426,4.337304356398372,0.4701
2025-08-13,CIN,PHI,8.0,8.0,0.0,5.0,3.4,3.6,3.7,3.95,3.6,4.2,2.4,4.7,2.7,5.1,3.8,3.9804512596178947,3.9804512596178947,4.161682276969721,0.4219,8.0,0,"(0.0, 0.45]",0.4169,"(0.0, 0.45]",3.9804512596178885,4.161682276969715,0.4242
2025-08-13,NYY,MIN,5.0,1.0,4.0,4.8,3.2,4.6,4.4,4.7,5.2,4.2,5.0,4.0,5.6,4.2,5.55,4.760666728635921,4.760666728635921,4.365941135232732,0.5598,5.0,0,"(0.55, 0.6]",0.5267,"(0.5, 0.55]",4.760666728635914,4.365941135232725,0.5254
2025-08-13,SFG,SDP,12.0,1.0,11.0,1.8,4.2,4.3,4.5,4.3,4.75,4.0,3.2,4.3,3.4,4.55,3.25,4.175834607672117,4.175834607672117,4.442318965698352,0.4994,12.0,1,"(0.45, 0.5]",0.4649,"(0.45, 0.5]",4.175834607672111,4.442318965698345,0.4676
2025-08-13,LAA,LAD,11.0,6.0,5.0,5.6,5.6,4.7,4.8,4.5,4.65,5.0,3.8,4.7,3.2,4.5,3.7,4.153672004920329,4.153672004920329,4.567999785548623,0.5095,11.0,1,"(0.5, 0.55]",0.4847,"(0.45, 0.5]",4.153672004920323,4.567999785548616,0.4866
2025-08-13,TEX,ARI,10.0,4.0,6.0,1.8,4.4,2.4,4.0,3.55,3.3,6.0,3.4,5.2,3.7,4.2,4.1,4.156785051755511,4.156785051755511,4.20037103049831,0.4521,10.0,1,"(0.45, 0.5]",0.4386,"(0.0, 0.45]",4.156785051755505,4.200371030498304,0.4473
2025-08-13,CLE,MIA,17.0,4.0,13.0,4.8,3.2,5.1,3.1,5.2,3.85,3.2,5.4,4.0,5.7,4.2,4.45,4.853925797286593,4.853925797286593,3.850433758786963,0.5147,17.0,1,"(0.5, 0.55]",0.4848,"(0.45, 0.5]",4.8539257972865855,3.850433758786957,0.483
2025-08-13,NYM,ATL,17.0,6.0,11.0,5.2,5.2,4.5,5.9,4.55,4.8,5.6,5.2,4.7,4.9,4.6,6.15,4.5633110245797415,4.5633110245797415,5.0915714533004275,0.6239,17.0,1,"(0.6, 0.65]",0.5717,"(0.55, 0.6]",4.563311024579734,5.0915714533004195,0.5807
2025-08-13,ATH,TBR,10.0,2.0,8.0,5.2,3.0,5.5,3.7,5.35,3.05,3.2,5.2,3.3,4.1,3.35,4.95,4.467203235564259,4.467203235564259,4.004952647324491,0.4716,10.0,1,"(0.45, 0.5]",0.4562,"(0.45, 0.5]",4.467203235564252,4.004952647324485,0.4599
2025-08-13,STL,COL,11.0,5.0,6.0,2.4,3.2,3.7,4.5,3.2,4.5,3.4,5.6,3.6,8.7,4.4,8.1,5.405997329819806,5.405997329819806,4.427726121731555,0.6507,11.0,1,"(0.65, 1.0]",0.59,"(0.55, 0.6]",5.405997329819798,4.427726121731548,0.5848
2025-08-13,HOU,BOS,5.0,4.0,1.0,4.6,6.4,5.1,5.1,4.5,4.95,7.0,4.6,7.5,3.5,5.45,3.55,4.222150776816991,4.222150776816991,4.801412325560325,0.5476,5.0,0,"(0.5, 0.55]",0.507,"(0.5, 0.55]",4.222150776816985,4.801412325560318,0.5177
2025-08-14,TOR,CHC,3.0,2.0,1.0,2.6,4.6,6.5,4.0,6.15,5.2,3.2,3.0,3.3,3.1,4.05,4.4,4.325705939046694,4.325705939046694,4.18657297603081,0.4756,3.0,0,"(0.45, 0.5]",0.4661,"(0.45, 0.5]",4.325705939046687,4.186572976030804,0.4661
2025-08-14,NYM,ATL,7.0,3.0,4.0,6.2,6.6,5.0,6.3,4.65,4.95,7.6,5.4,5.4,5.3,4.7,5.85,4.676925193002919,4.676925193002919,5.303892625858877,0.6591,7.0,0,"(0.65, 1.0]",0.6085,"(0.6, 0.65]",4.676925193002912,5.303892625858869,0.6121
2025-08-14,CLE,MIA,13.0,9.0,4.0,4.8,5.6,4.5,4.0,5.0,4.2,4.8,6.0,4.6,5.8,4.65,4.5,4.853298945368752,4.853298945368752,4.2420386466289175,0.5508,13.0,1,"(0.55, 0.6]",0.5288,"(0.5, 0.55]",4.853298945368745,4.242038646628911,0.5194
2025-08-14,BAL,SEA,8.0,5.0,3.0,2.4,4.0,2.7,4.7,4.95,4.0,4.0,2.6,5.1,2.9,3.85,3.8,4.137928830907631,4.137928830907631,4.460014132905075,0.4915,8.0,0,"(0.45, 0.5]",0.4622,"(0.45, 0.5]",4.137928830907625,4.4600141329050675,0.4663
2025-08-14,WSN,PHI,5.0,3.0,2.0,5.8,4.8,4.1,6.6,4.05,5.95,2.4,3.8,4.2,2.8,4.65,3.95,4.013387786706243,4.013387786706243,5.453948841714364,0.6067,5.0,0,"(0.6, 0.65]",0.5566,"(0.55, 0.6]",4.013387786706237,5.453948841714355,0.5538
2025-08-14,COL,ARI,10.0,2.0,8.0,4.4,5.4,3.4,8.7,4.6,8.05,6.8,3.6,5.6,3.4,4.15,4.15,4.210931661715673,4.210931661715673,6.608401581461214,0.7521,10.0,1,"(0.65, 1.0]",0.6689,"(0.65, 1.0]",4.210931661715667,6.608401581461203,0.6742
2025-08-15,KCR,CHW,4.0,3.0,1.0,5.6,5.2,5.3,5.0,5.4,4.8,3.4,3.2,3.7,4.9,5.0,4.75,4.672819068254857,4.672819068254857,4.7085206712462675,0.5945,4.0,0,"(0.55, 0.6]",0.5537,"(0.55, 0.6]",4.67281906825485,4.70852067124626,0.5458
2025-08-15,HOU,BAL,7.0,0.0,7.0,4.6,5.4,4.6,5.1,4.15,4.85,2.8,4.2,2.8,4.7,5.1,4.0,4.463742897153971,4.463742897153971,4.7646905053231565,0.57,7.0,0,"(0.55, 0.6]",0.5247,"(0.5, 0.55]",4.463742897153964,4.764690505323149,0.5321
2025-08-15,CIN,MIL,18.0,8.0,10.0,6.2,2.8,4.2,3.3,3.95,3.1,9.4,3.2,7.9,2.8,7.05,3.65,4.0022064725716335,4.0022064725716335,4.178838173932235,0.4359,18.0,1,"(0.0, 0.45]",0.4232,"(0.0, 0.45]",4.002206472571627,4.1788381739322285,0.4261
2025-08-15,WSN,PHI,8.0,2.0,6.0,5.6,4.8,4.1,5.4,3.9,6.0,2.2,4.0,4.2,3.1,4.65,3.7,4.062517188377575,4.062517188377575,4.856690135779377,0.5453,8.0,0,"(0.5, 0.55]",0.5005,"(0.5, 0.55]",4.062517188377568,4.8566901357793695,0.4968
2025-08-15,STL,NYY,7.0,3.0,4.0,2.4,4.4,3.4,4.6,3.25,4.4,4.4,3.6,4.0,4.4,4.15,4.95,4.282456110865262,4.282456110865262,4.446278449756296,0.5151,7.0,0,"(0.5, 0.55]",0.4773,"(0.45, 0.5]",4.2824561108652555,4.446278449756289,0.4926
