Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,game_date,home_SP_name,home_SP_K_pct_talent,home_SP_BB_pct_talent,home_SP_whiff_pct_talent,away_SP_name,away_SP_K_pct_talent,away_SP_BB_pct_talent,away_SP_whiff_pct_talent,home_bp_K_pct_roll10,home_bp_BB_pct_roll10,home_bp_whiff_pct_roll10,home_bp_K_pct_talent,home_bp_BB_pct_talent,home_bp_whiff_pct_talent,away_bp_K_pct_roll10,away_bp_BB_pct_roll10,away_bp_whiff_pct_roll10,away_bp_K_pct_talent,away_bp_BB_pct_talent,away_bp_whiff_pct_talent
2025-04-22,ARI,TBR,6.0,5.0,1.0,7.0,5.8,5.8,4.5,5.55,4.55,1.4,3.8,4.2,4.2,4.05,3.8,2025-04-22,Brandon Pfaadt,0.1812758799171842,0.0546428571428571,0.2124176548089591,Zack Littell,0.2049422799422799,0.0504232804232804,0.1812109697183928,0.25566100566100564,0.07922008547008545,0.22662989203778677,0.276095621550167,0.055723001745729,0.25416255486705164,0.23488075933728103,0.03914237935977065,0.29496753246753243,0.2465639765308447,0.042169840931756755,0.2856802290146623
2025-04-25,ARI,ATL,10.0,2.0,8.0,6.0,5.2,5.9,4.3,5.4,4.55,5.0,4.4,4.6,4.7,4.05,4.5,2025-04-25,Zac Gallen,0.2385938135938135,0.1093203093203092,0.2696874071874072,Chris Sale,0.2910973084886127,0.0636363636363636,0.2663989560858154,0.2905094905094905,0.09978285603285601,0.23949596221024794,0.27066977466977465,0.0601184926184926,0.2532357921414636,0.2182115800865801,0.08471590909090908,0.21121426939073995,0.23435680076788823,0.08517815236807108,0.22769335591579754
2025-04-27,ARI,ATL,10.0,6.0,4.0,5.2,6.4,5.2,5.1,5.35,4.75,5.8,4.2,5.1,4.1,4.45,4.35,2025-04-27,Brandon Pfaadt,0.1904752493882928,0.0437142857142857,0.209064558629776,Spencer Schwellenbach,0.2063433667781493,0.035391304347826,0.2372596514880054,0.24186230436230433,0.12264541014541011,0.22559852631281202,0.2557508335286113,0.06953411814522924,0.24682326432851565,0.2065028966131907,0.10902963458110518,0.21420213120213122,0.2356355385670401,0.0905415222462436,0.2266619988673296
2025-05-05,ARI,NYM,9.0,4.0,5.0,3.0,4.6,4.1,5.5,4.55,4.55,4.6,4.4,6.3,4.3,5.45,3.35,2025-05-05,Ryne Nelson,0.2703407703407703,0.0517399267399267,0.2003421578421578,Griffin Canning,0.2303265409901564,0.1077374595910064,0.2600712342143664,0.1848885130215053,0.11997190788750889,0.22282561193120198,0.24270568039185458,0.07949062924521776,0.24393661177645967,0.22169786096256683,0.0684443171207877,0.21981108711806185,0.2516891061417819,0.07908214616971802,0.2485233790699718
2025-05-06,ARI,NYM,6.0,5.0,1.0,3.2,4.0,3.4,4.7,4.55,4.55,5.0,4.4,6.4,4.2,5.65,3.4,2025-05-06,Zac Gallen,0.2609299200914107,0.1103249177783338,0.2423414646159007,David Peterson,0.2112779973649539,0.0645454545454545,0.1778114116459981,0.15905119244734262,0.1252350657822457,0.21734763126525136,0.2387787511776512,0.07872322780813636,0.2429820318911172,0.2324121466768525,0.0871943171207877,0.21325838056535532,0.2516421865267324,0.08209375322055919,0.24803020828384006
2025-05-07,ARI,NYM,8.0,1.0,7.0,3.4,3.6,3.7,4.2,4.75,4.35,4.8,4.6,6.3,4.7,5.3,3.65,2025-05-07,Merrill Kelly,0.177316644707949,0.0752305665349143,0.179386148898344,Kodai Senga,0.2404887510150667,0.0931015183646762,0.2678818753286838,0.17496028335643354,0.12409870214588208,0.23209122100884114,0.23909045253382757,0.08000869370235478,0.24264278741550926,0.18535332314744077,0.08654072234954588,0.1927150868471889,0.24484104635033424,0.08287800613652005,0.24274916424771922
2025-05-08,ARI,LAD,8.0,5.0,3.0,2.8,4.6,3.3,4.8,4.6,4.55,6.4,2.6,7.6,3.1,5.65,3.7,2025-05-08,Brandon Pfaadt,0.1995458130551297,0.0365154950869236,0.2148080180688876,Jack Dreyer,0.2871031746031746,0.1224206349206349,0.2645408163265306,0.18558299397914416,0.12336610141328135,0.22792455434217446,0.23678655256929584,0.08408330281227035,0.24171550487274776,0.24265303500597618,0.06348753260517963,0.22508631928937253,0.2642000621260231,0.07249717386512378,0.2361257948136099
2025-05-09,ARI,LAD,25.0,11.0,14.0,3.4,4.6,3.6,4.3,4.4,4.7,6.6,3.4,7.9,3.3,5.65,3.95,2025-05-09,Eduardo Rodr\xc3\xadguez,0.2716106644678073,0.0727746856318284,0.2078993612986436,Roki Sasaki,0.1766615737203971,0.1415414650708768,0.2092368385350841,0.18915442255057274,0.10193752998470992,0.23001151086391358,0.23713427487010383,0.0818705843172106,0.24221955909234363,0.21098636833930948,0.06348753260517963,0.2090732473939477,0.2591759863262262,0.07048336347998145,0.23283471881388543
2025-05-10,ARI,LAD,3.0,3.0,0.0,5.2,6.0,4.1,5.3,4.95,5.05,7.4,5.0,8.5,4.0,6.35,3.7,2025-05-10,Ryne Nelson,0.2497060687850161,0.07158822537112,0.1984475362600362,Dustin May,0.2088439955106621,0.1023569023569023,0.2044787885785014,0.1957071291032793,0.09025661830379825,0.23143753581935028,0.23865124977846777,0.08072100618182154,0.24103645325337453,0.22910401539813302,0.06960517966400318,0.21879546961616994,0.2586577164255173,0.07182165095349546,0.23217251920630297
2025-05-17,ARI,COL,26.0,12.0,14.0,5.0,5.2,5.0,5.1,4.2,4.9,2.8,5.0,2.9,8.9,2.85,7.25,2025-05-17,Zac Gallen,0.25018829175834,0.107372055391379,0.2407324747237027,Germ\xc3\xa1n M\xc3\xa1rquez,0.1185067879404263,0.0764774557165861,0.1658645229846146,0.23706052439556274,0.08826199324025409,0.2327768247767334,0.23839692300385376,0.08084295345971806,0.2407142080879208,0.1770249195249195,0.08540334665334665,0.23617393371087952,0.18757515361050797,0.10665132004456396,0.2304118714956025
