game_date,game_pk,batters_faced,strikeouts,walks,swings,whiffs,pitches,pitcher_team,home_team,away_team,pitcher_name,mlbam_id,K_pct,BB_pct,whiff_pct
2025-04-12,778357,19,5,2,33,4,81,CIN,CIN,PIT,Andrew Abbott,671096,0.2631578947368421,0.10526315789473684,0.12121212121212122
2025-04-18,778276,21,11,1,41,18,93,CIN,BAL,CIN,Andrew Abbott,671096,0.5238095238095238,0.047619047619047616,0.43902439024390244
2025-04-25,778181,21,4,5,34,7,84,CIN,COL,CIN,Andrew Abbott,671096,0.19047619047619047,0.23809523809523808,0.20588235294117646
2025-05-01,778107,18,3,4,36,6,74,CIN,CIN,STL,Andrew Abbott,671096,0.16666666666666666,0.2222222222222222,0.16666666666666666
2025-05-06,778034,19,8,0,44,9,91,CIN,ATL,CIN,Andrew Abbott,671096,0.42105263157894735,0.0,0.20454545454545456
2025-05-13,777945,22,7,0,52,11,96,CIN,CIN,CWS,Andrew Abbott,671096,0.3181818181818182,0.0,0.21153846153846154
2025-05-18,777874,22,5,3,51,15,96,CIN,CIN,CLE,Andrew Abbott,671096,0.22727272727272727,0.13636363636363635,0.29411764705882354
2025-05-24,777791,23,2,2,39,4,83,CIN,CIN,CHC,Andrew Abbott,671096,0.08695652173913043,0.08695652173913043,0.10256410256410256
2025-05-30,777712,23,8,1,47,12,93,CIN,CHC,CIN,Andrew Abbott,671096,0.34782608695652173,0.043478260869565216,0.2553191489361702
2025-06-04,777647,26,6,1,49,12,100,CIN,CIN,MIL,Andrew Abbott,671096,0.23076923076923078,0.038461538461538464,0.24489795918367346
2025-06-10,777569,31,5,1,62,16,110,CIN,CLE,CIN,Andrew Abbott,671096,0.16129032258064516,0.03225806451612903,0.25806451612903225
2025-06-17,777478,26,5,0,46,6,90,CIN,CIN,MIN,Andrew Abbott,671096,0.19230769230769232,0.0,0.13043478260869565
2025-06-22,777407,25,3,0,64,13,100,CIN,STL,CIN,Andrew Abbott,671096,0.12,0.0,0.203125
2025-06-28,777328,24,4,2,44,10,102,CIN,CIN,SD,Andrew Abbott,671096,0.16666666666666666,0.08333333333333333,0.22727272727272727
2025-07-04,777255,19,2,0,38,4,66,CIN,PHI,CIN,Andrew Abbott,671096,0.10526315789473684,0.0,0.10526315789473684
2025-07-09,777183,30,5,2,50,14,100,CIN,CIN,MIA,Andrew Abbott,671096,0.16666666666666666,0.06666666666666667,0.28
2025-07-20,777087,25,5,1,50,10,95,CIN,NYM,CIN,Andrew Abbott,671096,0.2,0.04,0.2
2025-07-26,777000,23,7,3,40,12,95,CIN,CIN,TB,Andrew Abbott,671096,0.30434782608695654,0.13043478260869565,0.3
2025-07-31,776928,25,1,5,40,7,96,CIN,CIN,ATL,Andrew Abbott,671096,0.04,0.2,0.175
2025-08-06,776847,29,3,2,52,7,100,CIN,CHC,CIN,Andrew Abbott,671096,0.10344827586206896,0.06896551724137931,0.1346153846153846
2025-08-11,776792,28,6,0,60,18,104,CIN,CIN,PHI,Andrew Abbott,671096,0.21428571428571427,0.0,0.3
2025-08-17,776709,24,7,0,47,9,92,CIN,CIN,MIL,Andrew Abbott,671096,0.2916666666666667,0.0,0.19148936170212766
2025-08-23,776622,21,6,0,35,8,73,CIN,AZ,CIN,Andrew Abbott,671096,0.2857142857142857,0.0,0.22857142857142856
2025-08-30,776536,22,7,4,42,12,96,CIN,CIN,STL,Andrew Abbott,671096,0.3181818181818182,0.18181818181818182,0.2857142857142857
2025-09-05,776450,25,5,1,44,7,98,CIN,CIN,NYM,Andrew Abbott,671096,0.2,0.04,0.1590909090909091
2025-09-10,776377,30,6,2,55,14,102,CIN,SD,CIN,Andrew Abbott,671096,0.2,0.06666666666666667,0.2545454545454545
2025-09-16,776300,22,7,0,59,13,96,CIN,STL,CIN,Andrew Abbott,671096,0.3181818181818182,0.0,0.22033898305084745
2025-09-21,776239,20,2,1,38,7,86,CIN,CIN,CHC,Andrew Abbott,671096,0.1,0.05,0.18421052631578946
2025-09-27,776153,21,4,0,39,9,85,CIN,MIL,CIN,Andrew Abbott,671096,0.19047619047619047,0.0,0.23076923076923078
2025-05-18,777880,22,9,0,48,16,84,PHI,PHI,PIT,Mick Abel,690953,0.4090909090909091,0.0,0.3333333333333333
2025-06-04,777651,19,2,0,41,4,78,PHI,TOR,PHI,Mick Abel,690953,0.10526315789473684,0.0,0.0975609756097561
2025-06-10,777571,20,3,3,40,10,89,PHI,PHI,CHC,Mick Abel,690953,0.15,0.15,0.25
2025-06-16,777483,20,3,1,39,6,77,PHI,MIA,PHI,Mick Abel,690953,0.15,0.05,0.15384615384615385
2025-06-21,777423,15,1,0,38,6,73,PHI,PHI,NYM,Mick Abel,690953,0.06666666666666667,0.0,0.15789473684210525
2025-07-02,777273,12,3,5,17,7,53,PHI,PHI,SD,Mick Abel,690953,0.25,0.4166666666666667,0.4117647058823529
2025-08-23,776619,17,2,2,33,6,63,MIN,CWS,MIN,Mick Abel,690953,0.11764705882352941,0.11764705882352941,0.18181818181818182
2025-08-30,776530,12,1,1,29,5,59,MIN,MIN,SD,Mick Abel,690953,0.08333333333333333,0.08333333333333333,0.1724137931034483
2025-09-20,776243,16,6,3,30,8,71,MIN,MIN,CLE,Mick Abel,690953,0.375,0.1875,0.26666666666666666
2025-09-27,776163,21,9,1,40,13,73,MIN,PHI,MIN,Mick Abel,690953,0.42857142857142855,0.047619047619047616,0.325
2025-03-27,778562,20,7,4,43,16,91,MIA,MIA,PIT,Sandy Alcantara,645261,0.35,0.2,0.37209302325581395
2025-04-01,778497,18,4,0,33,6,70,MIA,MIA,NYM,Sandy Alcantara,645261,0.2222222222222222,0.0,0.18181818181818182
2025-04-12,778354,25,1,4,32,3,87,MIA,MIA,WSH,Sandy Alcantara,645261,0.04,0.16,0.09375
2025-04-18,778274,12,1,2,31,3,61,MIA,PHI,MIA,Sandy Alcantara,645261,0.08333333333333333,0.16666666666666666,0.0967741935483871
2025-04-23,778208,25,4,2,51,15,102,MIA,MIA,CIN,Sandy Alcantara,645261,0.16,0.08,0.29411764705882354
2025-04-29,778123,20,2,5,34,9,79,MIA,LAD,MIA,Sandy Alcantara,645261,0.1,0.25,0.2647058823529412
2025-05-05,778047,22,4,1,47,11,88,MIA,MIA,LAD,Sandy Alcantara,645261,0.18181818181818182,0.045454545454545456,0.23404255319148937
2025-05-11,777966,26,8,3,41,8,107,MIA,CWS,MIA,Sandy Alcantara,645261,0.3076923076923077,0.11538461538461539,0.1951219512195122
2025-05-17,777889,23,3,2,45,9,101,MIA,MIA,TB,Sandy Alcantara,645261,0.13043478260869565,0.08695652173913043,0.2
2025-05-23,777798,25,6,2,42,7,100,MIA,LAA,MIA,Sandy Alcantara,645261,0.24,0.08,0.16666666666666666
2025-05-28,777726,21,0,4,29,1,71,MIA,SD,MIA,Sandy Alcantara,645261,0.0,0.19047619047619047,0.034482758620689655
2025-06-03,777666,24,4,1,32,8,70,MIA,MIA,COL,Sandy Alcantara,645261,0.16666666666666666,0.041666666666666664,0.25
2025-06-10,777566,22,6,1,48,7,85,MIA,PIT,MIA,Sandy Alcantara,645261,0.2727272727272727,0.045454545454545456,0.14583333333333334
2025-06-16,777483,21,5,1,52,12,100,MIA,MIA,PHI,Sandy Alcantara,645261,0.23809523809523808,0.047619047619047616,0.23076923076923078
2025-06-22,777402,26,4,2,50,5,95,MIA,MIA,ATL,Sandy Alcantara,645261,0.15384615384615385,0.07692307692307693,0.1
2025-06-28,777318,30,4,0,53,4,91,MIA,AZ,MIA,Sandy Alcantara,645261,0.13333333333333333,0.0,0.07547169811320754
2025-07-04,777254,25,4,1,40,6,96,MIA,MIA,MIL,Sandy Alcantara,645261,0.16,0.04,0.15
2025-07-09,777183,26,4,2,52,8,108,MIA,CIN,MIA,Sandy Alcantara,645261,0.15384615384615385,0.07692307692307693,0.15384615384615385
2025-07-18,777109,26,2,2,48,6,97,MIA,MIA,KC,Sandy Alcantara,645261,0.07692307692307693,0.07692307692307693,0.125
2025-07-23,777037,23,4,0,50,10,98,MIA,MIA,SD,Sandy Alcantara,645261,0.17391304347826086,0.0,0.2
2025-07-29,776946,21,4,3,41,8,94,MIA,STL,MIA,Sandy Alcantara,645261,0.19047619047619047,0.14285714285714285,0.1951219512195122
2025-08-04,776875,31,5,1,53,9,100,MIA,MIA,HOU,Sandy Alcantara,645261,0.16129032258064516,0.03225806451612903,0.16981132075471697
2025-08-09,776819,24,4,4,41,7,91,MIA,ATL,MIA,Sandy Alcantara,645261,0.16666666666666666,0.16666666666666666,0.17073170731707318
2025-08-15,776741,21,7,1,46,8,86,MIA,BOS,MIA,Sandy Alcantara,645261,0.3333333333333333,0.047619047619047616,0.17391304347826086
2025-08-20,776670,29,9,1,61,16,114,MIA,MIA,STL,Sandy Alcantara,645261,0.3103448275862069,0.034482758620689655,0.26229508196721313
2025-08-26,776581,26,7,2,51,13,104,MIA,MIA,ATL,Sandy Alcantara,645261,0.2692307692307692,0.07692307692307693,0.2549019607843137
