game_date,game_pk,batters_faced,strikeouts,walks,swings,whiffs,pitches,pitcher_team,home_team,away_team,pitcher_name,mlbam_id,K_pct,BB_pct,whiff_pct
2026-04-21,823640,4,2,0,9,6,16,NYM,NYM,MIN,Huascar Brazob\xc3\xa1n,623211,0.5,0.0,0.6666666666666666
2026-04-23,823639,3,0,0,5,1,10,NYM,NYM,MIN,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.2
2026-04-26,823635,7,1,1,18,4,32,NYM,NYM,COL,Huascar Brazob\xc3\xa1n,623211,0.14285714285714285,0.14285714285714285,0.2222222222222222
2026-05-01,824041,3,1,0,5,2,11,NYM,LAA,NYM,Huascar Brazob\xc3\xa1n,623211,0.3333333333333333,0.0,0.4
2026-05-02,824042,4,1,0,12,4,18,NYM,LAA,NYM,Huascar Brazob\xc3\xa1n,623211,0.25,0.0,0.3333333333333333
2026-05-04,824363,4,0,0,4,1,11,NYM,COL,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.25
2026-05-07,824362,6,1,2,9,2,25,NYM,COL,NYM,Huascar Brazob\xc3\xa1n,623211,0.16666666666666666,0.3333333333333333,0.2222222222222222
2026-05-10,825085,6,0,3,11,3,30,NYM,AZ,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.5,0.2727272727272727
2026-05-13,823631,7,2,0,18,2,27,NYM,NYM,DET,Huascar Brazob\xc3\xa1n,623211,0.2857142857142857,0.0,0.1111111111111111
2026-05-16,823627,4,2,0,9,4,24,NYM,NYM,NYY,Huascar Brazob\xc3\xa1n,623211,0.5,0.0,0.4444444444444444
2026-05-18,822734,10,1,1,11,4,26,NYM,WSH,NYM,Huascar Brazob\xc3\xa1n,623211,0.1,0.1,0.36363636363636365
2026-05-21,822733,3,0,0,4,0,9,NYM,WSH,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.0
2026-05-24,823861,3,0,0,5,0,8,NYM,MIA,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.0
2026-05-27,823626,5,2,1,8,2,19,NYM,NYM,CIN,Huascar Brazob\xc3\xa1n,623211,0.4,0.2,0.25
2026-05-29,823623,5,0,1,5,1,12,NYM,NYM,MIA,Huascar Brazob\xc3\xa1n,623211,0.0,0.2,0.2
2026-05-30,823622,3,3,0,6,3,16,NYM,NYM,MIA,Huascar Brazob\xc3\xa1n,623211,1.0,0.0,0.5
2026-06-02,823129,9,0,1,14,2,33,NYM,SEA,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.1111111111111111,0.14285714285714285
2026-06-05,823293,4,2,0,11,4,17,NYM,SD,NYM,Huascar Brazob\xc3\xa1n,623211,0.5,0.0,0.36363636363636365
2026-06-07,823291,4,0,2,9,0,22,NYM,SD,NYM,Huascar Brazob\xc3\xa1n,623211,0.0,0.5,0.0
2026-06-12,823617,5,4,0,10,5,19,NYM,NYM,ATL,Huascar Brazob\xc3\xa1n,623211,0.8,0.0,0.5
2026-06-14,823615,3,0,0,6,0,11,NYM,NYM,ATL,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.0
2026-06-16,824504,3,2,1,3,2,15,NYM,CIN,NYM,Huascar Brazob\xc3\xa1n,623211,0.6666666666666666,0.3333333333333333,0.6666666666666666
2026-06-18,823448,4,1,1,11,1,20,NYM,PHI,NYM,Huascar Brazob\xc3\xa1n,623211,0.25,0.25,0.09090909090909091
2026-06-24,823611,6,4,0,15,5,34,NYM,NYM,CHC,Huascar Brazob\xc3\xa1n,623211,0.6666666666666666,0.0,0.3333333333333333
2026-06-26,823610,6,1,1,9,3,18,NYM,NYM,PHI,Huascar Brazob\xc3\xa1n,623211,0.16666666666666666,0.16666666666666666,0.3333333333333333
2026-06-27,823609,4,0,0,6,0,10,NYM,NYM,PHI,Huascar Brazob\xc3\xa1n,623211,0.0,0.0,0.0
2026-03-26,824704,13,3,1,20,4,49,CHC,CHC,WSH,Ben Brown,676962,0.23076923076923078,0.07692307692307693,0.2
2026-03-31,824699,12,5,1,27,9,50,CHC,CHC,LAA,Ben Brown,676962,0.4166666666666667,0.08333333333333333,0.3333333333333333
2026-04-05,824460,10,0,2,13,1,42,CHC,CLE,CHC,Ben Brown,676962,0.0,0.2,0.07692307692307693
2026-04-08,823000,8,3,0,17,5,31,CHC,TB,CHC,Ben Brown,676962,0.375,0.0,0.29411764705882354
2026-04-11,824697,8,3,1,15,6,34,CHC,CHC,PIT,Ben Brown,676962,0.375,0.125,0.4
2026-04-15,823477,6,0,0,10,2,17,CHC,PHI,CHC,Ben Brown,676962,0.0,0.0,0.2
2026-04-18,824694,10,1,1,15,3,38,CHC,CHC,NYM,Ben Brown,676962,0.1,0.1,0.2
2026-04-22,824688,10,5,0,13,2,37,CHC,CHC,PHI,Ben Brown,676962,0.5,0.0,0.15384615384615385
2026-04-27,823311,9,1,1,24,2,43,CHC,SD,CHC,Ben Brown,676962,0.1111111111111111,0.1111111111111111,0.08333333333333333
2026-04-29,823312,4,1,0,6,2,11,CHC,SD,CHC,Ben Brown,676962,0.25,0.0,0.3333333333333333
2026-05-02,824685,6,1,0,10,4,24,CHC,CHC,AZ,Ben Brown,676962,0.16666666666666666,0.0,0.4
2026-05-04,824684,5,1,1,7,0,25,CHC,CHC,CIN,Ben Brown,676962,0.2,0.2,0.0
2026-05-08,822904,13,3,1,24,8,46,CHC,TEX,CHC,Ben Brown,676962,0.23076923076923078,0.07692307692307693,0.3333333333333333
2026-05-14,824926,15,7,1,30,9,65,CHC,ATL,CHC,Ben Brown,676962,0.4666666666666667,0.06666666666666667,0.3
2026-05-19,824677,25,6,2,42,15,82,CHC,CHC,MIL,Ben Brown,676962,0.24,0.08,0.35714285714285715
2026-05-25,823380,24,7,2,43,12,83,CHC,PIT,CHC,Ben Brown,676962,0.2916666666666667,0.08333333333333333,0.27906976744186046
2026-05-30,823054,23,6,1,38,7,82,CHC,STL,CHC,Ben Brown,676962,0.2608695652173913,0.043478260869565216,0.18421052631578946
2026-06-06,824669,19,5,1,37,7,87,CHC,CHC,SF,Ben Brown,676962,0.2631578947368421,0.05263157894736842,0.1891891891891892
2026-06-13,823213,23,3,3,43,8,86,CHC,SF,CHC,Ben Brown,676962,0.13043478260869565,0.13043478260869565,0.18604651162790697
2026-06-19,824663,22,4,0,38,10,72,CHC,CHC,TOR,Ben Brown,676962,0.18181818181818182,0.0,0.2631578947368421
2026-03-26,824218,22,9,4,43,11,102,HOU,HOU,LAA,Hunter Brown,686613,0.4090909090909091,0.18181818181818182,0.2558139534883721
2026-03-31,824212,21,8,2,30,8,78,HOU,HOU,BOS,Hunter Brown,686613,0.38095238095238093,0.09523809523809523,0.26666666666666666
2026-06-16,824182,22,7,3,36,11,92,HOU,HOU,DET,Hunter Brown,686613,0.3181818181818182,0.13636363636363635,0.3055555555555556
2026-06-22,822800,17,4,2,37,8,85,HOU,TOR,HOU,Hunter Brown,686613,0.23529411764705882,0.11764705882352941,0.21621621621621623
2026-06-28,824256,26,4,2,44,9,103,HOU,DET,HOU,Hunter Brown,686613,0.15384615384615385,0.07692307692307693,0.20454545454545456
2026-03-30,824135,22,4,3,34,9,75,KC,KC,MIN,Kris Bubic,663460,0.18181818181818182,0.13636363636363635,0.2647058823529412
2026-04-05,824131,22,8,3,45,16,96,KC,KC,MIL,Kris Bubic,663460,0.36363636363636365,0.13636363636363635,0.35555555555555557
2026-04-10,824128,24,11,1,45,15,88,KC,KC,CWS,Kris Bubic,663460,0.4583333333333333,0.041666666666666664,0.3333333333333333
2026-04-16,824289,21,3,3,33,5,82,KC,DET,KC,Kris Bubic,663460,0.14285714285714285,0.14285714285714285,0.15151515151515152
2026-04-21,824127,24,3,3,46,7,100,KC,KC,BAL,Kris Bubic,663460,0.125,0.125,0.15217391304347827
2026-04-28,825017,24,6,4,44,13,96,KC,ATH,KC,Kris Bubic,663460,0.25,0.16666666666666666,0.29545454545454547
2026-05-03,823145,26,7,2,47,9,94,KC,SEA,KC,Kris Bubic,663460,0.2692307692307692,0.07692307692307693,0.19148936170212766
2026-05-08,824116,24,5,4,41,7,96,KC,KC,DET,Kris Bubic,663460,0.20833333333333334,0.16666666666666666,0.17073170731707318
2026-05-14,824602,20,4,3,40,6,85,KC,CWS,KC,Kris Bubic,663460,0.2,0.15,0.15
2026-03-30,823320,19,3,2,30,8,72,SD,SD,SF,Walker Buehler,621111,0.15789473684210525,0.10526315789473684,0.26666666666666666
2026-04-05,824781,14,4,3,19,9,61,SD,BOS,SD,Walker Buehler,621111,0.2857142857142857,0.21428571428571427,0.47368421052631576
2026-04-10,823318,20,4,0,35,4,68,SD,SD,COL,Walker Buehler,621111,0.2,0.0,0.11428571428571428
2026-04-16,823313,20,7,1,41,10,88,SD,SD,SEA,Walker Buehler,621111,0.35,0.05,0.24390243902439024
2026-04-22,824367,19,2,3,33,2,82,SD,COL,SD,Walker Buehler,621111,0.10526315789473684,0.15789473684210525,0.06060606060606061
2026-04-28,823310,22,4,3,32,4,92,SD,SD,CHC,Walker Buehler,621111,0.18181818181818182,0.13636363636363635,0.125
2026-05-05,823227,23,5,0,41,7,82,SD,SF,SD,Walker Buehler,621111,0.21739130434782608,0.0,0.17073170731707318
2026-05-10,823305,21,2,0,42,5,89,SD,SD,STL,Walker Buehler,621111,0.09523809523809523,0.0,0.11904761904761904
2026-05-16,823139,22,6,2,44,5,101,SD,SEA,SD,Walker Buehler,621111,0.2727272727272727,0.09090909090909091,0.11363636363636363
2026-05-22,823298,22,4,4,37,8,85,SD,SD,ATH,Walker Buehler,621111,0.18181818181818182,0.18181818181818182,0.21621621621621623
2026-05-27,823295,18,2,0,26,5,58,SD,SD,PHI,Walker Buehler,621111,0.1111111111111111,0.0,0.19230769230769232
